,,fog,hail,maxtempm,meantempm,meanvism,meanwindspdm,mintempm,precipm,rain,snow,state,thunder,tornado,ArrDelay
01/12/07,MCO,0,0,25,21,15.0,11,17,0,0,0,FL,0,0,-1.5
01/12/07,ORD,1,0,1,-3,9.0,20,-7,16,1,1,IL,0,0,61.4155844156
01/12/07,PHX,0,0,19,16,16.0,21,12,1.27,1,0,AZ,0,0,2.51648351648
02/01/07,ANC,0,0,-3,-4,9.0,31,-6,0,0,0,AK,0,0,39.6666666667
02/01/07,ATL,0,0,14,7,16.0,8,0,0,0,0,GA,0,0,4.78873239437
02/01/07,DEN,0,0,3,-3,11.0,13,-8,0,0,0,CO,0,0,14.1428571429
02/01/07,DFW,0,0,14,8,16.0,11,1,0,0,0,TX,0,0,20.5106382979
02/01/07,HNL,0,0,29,26,16.0,15,22,T,1,0,HI,0,0,45.8695652174
02/01/07,LAX,0,0,24,17,15.0,0,8,0,0,0,CA,0,0,17.7874015748
02/01/07,LGA,0,0,10,8,16.0,14,5,0,0,0,NY,0,0,17.7333333333
02/01/07,MCO,0,0,19,18,12.0,10,16,4.83,1,0,FL,0,0,8.6
02/01/07,ORD,0,0,6,2,16.0,15,-3,0,0,0,IL,0,0,5.09090909091
02/01/07,PHX,0,0,23,14,16.0,7,6,0,0,0,AZ,0,0,17.6486486486
02/02/07,ANC,0,0,4,2,16.0,14,1,410.97,0,0,AK,0,0,12.3333333333
02/02/07,ATL,0,0,7,3,9.0,5,-1,0,0,0,GA,0,0,16.1
02/02/07,DEN,0,0,-4,-14,16.0,16,-24,0,0,0,CO,0,0,6.48
02/02/07,DFW,0,0,11,7,16.0,13,3,T,0,0,TX,0,0,16.2615384615
02/02/07,HNL,0,0,26,22,16.0,14,18,0.76,1,0,HI,0,0,-17.125
02/02/07,LAX,0,0,19,14,12.0,2,9,0,0,0,CA,0,0,11.1721311475
02/02/07,LGA,0,0,3,2,9.0,5,0,5.84,1,0,NY,0,0,21.7356321839
02/02/07,MCO,0,0,24,21,15.0,24,17,15.75,1,0,FL,1,0,16.8783783784
02/02/07,ORD,0,0,-11,-13,16.0,21,-14,T,0,1,IL,0,0,5.8125
02/02/07,PHX,0,0,17,12,16.0,7,6,0,0,0,AZ,0,0,8.37962962963
02/03/07,ANC,0,0,1,-1,16.0,19,-2,10.41,0,0,AK,0,0,28.3333333333
02/03/07,ATL,0,0,16,11,16.0,18,6,0,0,0,GA,0,0,40.7872340426
02/03/07,DEN,0,0,-2,-4,15.0,13,-7,0,0,0,CO,0,0,15.7293233083
02/03/07,DFW,0,0,23,14,16.0,8,6,0,0,0,TX,0,0,20.7709923664
02/03/07,HNL,0,0,28,23,16.0,11,19,0,0,0,HI,0,0,30.1666666667
02/03/07,LAX,0,0,23,16,16.0,2,9,0,0,0,CA,0,0,16.9285714286
02/03/07,LGA,0,0,14,8,7.0,12,2,61.21,1,0,NY,0,0,55.6506024096
02/03/07,MCO,0,0,31,24,16.0,21,19,0,0,0,FL,0,0,29.0540540541
02/03/07,ORD,0,0,0,-2,5.0,37,-4,1.52,0,1,IL,0,0,63.4076923077
02/03/07,PHX,0,0,19,12,16.0,9,5,0,0,0,AZ,0,0,20.4298245614
02/04/07,ANC,0,0,4,3,7.0,34,2,0,0,0,AK,0,0,-24.75
02/04/07,ATL,0,0,24,19,14.0,5,16,0,0,0,GA,0,0,11.6206896552
02/04/07,DEN,0,0,21,12,11.0,8,3,0,0,0,CO,0,0,-1.49253731343
02/04/07,DFW,0,0,27,23,13.0,11,18,T,0,0,TX,0,0,4.82014388489
02/04/07,HNL,0,0,27,23,16.0,17,19,0,0,0,HI,0,0,-16.0454545455
02/04/07,LAX,0,0,22,17,8.0,2,13,0,0,0,CA,0,0,10.1229508197
02/04/07,LGA,0,0,13,9,7.0,7,6,1.52,1,0,NY,0,0,22.4945054945
02/04/07,MCO,0,0,30,24,16.0,11,18,0,0,0,FL,0,0,4.70833333333
02/04/07,ORD,0,0,16,11,16.0,15,5,0,0,0,IL,0,0,11.1917808219
02/04/07,PHX,0,0,32,24,16.0,13,16,0,0,0,AZ,0,0,16.3125
02/05/07,ANC,0,0,3,2,14.0,13,1,0,0,0,AK,0,0,39.0
02/05/07,ATL,0,0,30,21,13.0,3,13,0,0,0,GA,0,0,2.625
02/05/07,DEN,0,0,20,14,12.0,23,8,0,0,0,CO,0,0,2.75
02/05/07,DFW,0,0,29,26,16.0,19,22,0.51,0,0,TX,0,0,26.5275590551
02/05/07,HNL,0,0,29,26,16.0,24,22,T,1,0,HI,0,0,1.90909090909
02/05/07,LAX,0,0,21,17,13.0,4,13,0,0,0,CA,0,0,3.15833333333
02/05/07,LGA,0,0,20,15,13.0,6,10,2.54,1,0,NY,0,0,42.8426966292
02/05/07,MCO,0,0,33,25,15.0,6,18,0,0,0,FL,0,0,3.81690140845
02/05/07,ORD,0,0,15,11,16.0,22,6,0,0,0,IL,0,0,8.40875912409
02/05/07,PHX,0,0,34,28,16.0,9,21,0,0,0,AZ,0,0,6.14285714286
02/06/07,ANC,0,0,6,4,16.0,13,4,0.76,0,0,AK,0,0,5.875
02/06/07,ATL,0,0,26,23,15.0,8,20,0,0,0,GA,0,0,-4.25
02/06/07,DEN,0,0,22,14,11.0,6,8,0,0,0,CO,0,0,9.46153846154
02/06/07,DFW,0,0,32,27,12.0,6,22,T,1,0,TX,1,0,-0.705426356589
02/06/07,HNL,0,0,30,26,16.0,11,21,0,0,0,HI,0,0,0.347826086957
02/06/07,LAX,0,0,24,19,12.0,3,14,0,0,0,CA,0,0,0.421052631579
02/06/07,LGA,0,0,32,27,14.0,6,22,0,0,0,NY,0,0,1.34722222222
02/06/07,MCO,0,0,31,25,11.0,24,20,33.78,1,0,FL,0,0,-2.27536231884
02/06/07,ORD,0,0,27,23,15.0,12,18,1.02,0,0,IL,0,0,2.2131147541
02/06/07,PHX,0,0,39,32,16.0,12,25,0,0,0,AZ,0,0,6.80808080808
02/07/07,ANC,0,0,9,7,14.0,8,6,0,0,0,AK,0,0,9.45454545455
02/07/07,ATL,0,0,29,24,12.0,10,19,0,0,0,GA,0,0,12.4189189189
02/07/07,DEN,0,0,36,27,11.0,14,18,0,0,0,CO,0,0,23.3909774436
02/07/07,DFW,0,0,29,26,13.0,11,23,32,1,0,TX,1,0,76.984962406
02/07/07,HNL,0,0,31,27,16.0,21,23,T,1,0,HI,0,0,11.4166666667
02/07/07,LAX,0,0,31,25,16.0,2,19,0,0,0,CA,0,0,25.1194029851
02/07/07,LGA,0,0,23,19,16.0,5,14,0,0,0,NY,0,0,5.94444444444
02/07/07,MCO,0,0,33,28,13.0,5,23,5.59,1,0,FL,1,0,15.6756756757
02/07/07,ORD,0,0,26,19,16.0,13,12,0,0,0,IL,0,0,14.6643835616
02/07/07,PHX,0,0,44,37,16.0,11,29,0,0,0,AZ,0,0,21.7454545455
02/08/07,ANC,0,0,12,10,16.0,3,9,0,0,0,AK,0,0,13.5833333333
02/08/07,ATL,0,0,34,27,9.0,3,21,0,0,0,GA,0,0,2.47770700637
02/08/07,DEN,0,0,28,22,11.0,8,16,11.43,1,0,CO,1,0,9.86131386861
02/08/07,DFW,0,0,34,29,14.0,6,24,2.29,1,0,TX,1,0,25.6666666667
02/08/07,HNL,0,0,31,28,16.0,21,24,T,1,0,HI,0,0,4.75
02/08/07,LAX,0,0,26,22,10.0,2,18,0,0,0,CA,0,0,12.2285714286
02/08/07,LGA,0,0,33,29,16.0,5,24,0,0,0,NY,0,0,3.81720430108
02/08/07,MCO,0,0,27,25,15.0,3,23,4.57,1,0,FL,0,0,11.8533333333
02/08/07,ORD,0,0,33,27,14.0,9,21,0,0,0,IL,0,0,0.789115646259
02/08/07,PHX,0,0,39,33,16.0,8,27,0,0,0,AZ,0,0,8.86363636364
02/09/07,ANC,0,0,14,11,13.0,14,9,4.83,0,0,AK,0,0,4.25
02/09/07,ATL,0,0,23,23,9.0,10,23,0,0,0,GA,0,0,-6.74803149606
02/09/07,DEN,0,0,32,23,11.0,11,15,5.84,1,0,CO,1,0,-2.46363636364
02/09/07,DFW,0,0,29,27,10.0,11,23,2.79,1,0,TX,0,0,-8.50862068966
02/09/07,HNL,0,0,31,28,16.0,19,24,0,0,0,HI,0,0,7.29166666667
02/09/07,LAX,0,0,38,31,16.0,1,23,0,0,0,CA,0,0,5.48275862069
02/09/07,LGA,0,0,26,20,16.0,5,14,0,0,0,NY,0,0,-21.9480519481
02/09/07,MCO,0,0,34,29,16.0,6,24,0,0,0,FL,0,0,-5.19696969697
02/09/07,ORD,0,0,29,23,16.0,8,16,0,0,0,IL,0,0,-4.53043478261
02/09/07,PHX,0,0,43,37,16.0,13,31,0,0,0,AZ,0,0,-2.375
02/10/07,ANC,0,0,9,8,16.0,31,7,0,0,0,AK,0,0,-13.0
02/10/07,ATL,0,0,29,20,16.0,6,12,0,0,0,GA,0,0,-0.680555555556
02/10/07,DEN,0,0,22,16,,13,9,0,0,0,CO,0,0,4.58870967742
02/10/07,DFW,0,0,32,27,16.0,6,21,0,0,0,TX,0,0,5.06474820144
02/10/07,HNL,0,0,29,27,16.0,24,24,T,1,0,HI,0,0,64.7368421053
02/10/07,LAX,0,0,31,24,15.0,2,17,0,0,0,CA,0,0,1.25396825397
02/10/07,LGA,0,0,24,19,16.0,6,14,0,0,0,NY,0,0,8.64444444444
02/10/07,MCO,0,0,31,26,14.0,14,23,21.59,1,0,FL,0,0,-5.53731343284
02/10/07,ORD,1,0,26,20,6.0,18,14,2.29,1,0,IL,0,0,21.1870503597
02/10/07,PHX,0,0,35,31,16.0,6,27,0,0,0,AZ,0,0,2.60185185185
02/11/07,ANC,0,0,5,3,16.0,23,2,0,0,0,AK,0,0,-10.0
02/11/07,ATL,0,0,22,16,12.0,2,10,0,0,0,GA,0,0,-0.823529411765
02/11/07,DEN,0,0,8,3,,11,-1,0,0,0,CO,0,0,0.97520661157
02/11/07,DFW,0,0,28,22,13.0,4,15,0,0,0,TX,0,0,0.856115107914
02/11/07,HNL,0,0,27,24,16.0,7,21,0,0,0,HI,0,0,-3.34782608696
02/11/07,LAX,0,0,22,18,5.0,2,14,0,0,0,CA,0,0,1.18897637795
02/11/07,LGA,0,0,13,10,16.0,14,7,0,0,0,NY,0,0,8.20212765957
02/11/07,MCO,0,0,27,23,16.0,19,19,0,1,0,FL,0,0,-0.9
02/11/07,ORD,0,0,14,7,16.0,11,-1,0,0,0,IL,0,0,6.15972222222
02/11/07,PHX,0,0,29,23,16.0,7,16,0,0,0,AZ,0,0,-1.29906542056
02/12/07,ANC,0,0,5,4,9.0,14,3,0,0,0,AK,0,0,25.0
02/12/07,ATL,0,0,19,13,16.0,6,8,0,0,0,GA,0,0,16.324137931
02/12/07,DEN,0,0,6,-1,7.0,11,-7,0,0,1,CO,0,0,21.0900900901
02/12/07,DFW,0,0,26,22,14.0,13,17,2.03,0,0,TX,0,0,17.953125
02/12/07,HNL,0,0,27,24,13.0,22,22,7.11,1,0,HI,0,0,-4.33333333333
02/12/07,LAX,0,0,17,12,16.0,1,6,0,0,0,CA,0,0,13.1300813008
02/12/07,LGA,1,0,2,-2,7.0,5,-7,8.38,1,1,NY,0,0,54.8783783784
02/12/07,MCO,0,0,27,22,14.0,2,16,0,0,0,FL,0,0,17.8243243243
02/12/07,ORD,0,0,7,2,10.0,22,-3,5.84,1,0,IL,0,0,51.2255639098
02/12/07,PHX,0,0,18,13,16.0,4,8,0,0,0,AZ,0,0,10.0882352941
03/01/07,ANC,0,0,-2,-6,10.0,16,-8,0,0,0,AK,0,0,81.3333333333
03/01/07,ATL,0,0,13,6,14.0,5,-2,0,0,0,GA,0,0,6.30496453901
03/01/07,DEN,0,0,8,3,11.0,16,-1,0,0,0,CO,0,0,8.36153846154
03/01/07,DFW,0,0,12,8,12.0,11,4,0.51,1,0,TX,0,0,8.57746478873
03/01/07,HNL,0,0,28,26,16.0,24,23,0,1,0,HI,0,0,1.72
03/01/07,LAX,0,0,23,17,12.0,1,10,0,0,0,CA,0,0,14.7317073171
03/01/07,LGA,0,0,11,7,16.0,9,3,0,0,0,NY,0,0,1.96739130435
03/01/07,MCO,0,0,27,22,15.0,10,17,12.95,1,0,FL,0,0,8.44927536232
03/01/07,ORD,0,0,9,5,16.0,25,1,0,0,0,IL,0,0,1.86013986014
03/01/07,PHX,0,0,21,14,16.0,7,7,0,0,0,AZ,0,0,7.52252252252
03/02/07,ANC,0,0,5,3,13.0,31,2,187.2,0,0,AK,0,0,7.0
03/02/07,ATL,0,0,6,1,16.0,8,-3,0,0,0,GA,0,0,10.4297520661
03/02/07,DEN,0,0,4,-4,14.0,23,-12,0,0,0,CO,0,0,1.88333333333
03/02/07,DFW,0,0,12,6,16.0,10,1,0,0,0,TX,0,0,8.75
03/02/07,HNL,0,0,26,20,16.0,15,14,0,0,0,HI,0,0,-2.82608695652
03/02/07,LAX,0,0,23,16,14.0,2,8,0,0,0,CA,0,0,8.18181818182
03/02/07,LGA,0,0,2,-2,16.0,14,-5,0,0,0,NY,0,0,14.2608695652
03/02/07,MCO,0,0,16,13,15.0,11,10,2.29,1,0,FL,0,0,18.0
03/02/07,ORD,0,0,-12,-16,14.0,29,-21,T,0,1,IL,0,0,26.6386554622
03/02/07,PHX,0,0,19,12,16.0,4,6,0,0,0,AZ,0,0,12.068627451
03/03/07,ANC,0,0,1,-1,16.0,21,-2,30.99,0,0,AK,0,0,-13.0
03/03/07,ATL,0,0,16,11,16.0,13,5,0,0,0,GA,0,0,7.496
03/03/07,DEN,0,0,1,-4,14.0,10,-8,0,0,0,CO,0,0,2.04761904762
03/03/07,DFW,0,0,19,13,16.0,14,6,0,0,0,TX,0,0,3.7
03/03/07,HNL,0,0,27,23,16.0,10,18,0,0,0,HI,0,0,8.21739130435
03/03/07,LAX,0,0,26,18,16.0,1,9,0,0,0,CA,0,0,9.83928571429
03/03/07,LGA,0,0,15,10,16.0,7,4,0,0,0,NY,0,0,11.2615384615
03/03/07,MCO,0,0,19,16,15.0,13,12,2.79,1,0,FL,0,0,12.7466666667
03/03/07,ORD,0,0,-3,-4,11.0,21,-7,0.51,0,1,IL,0,0,13.4830508475
03/03/07,PHX,0,0,19,14,16.0,13,9,0,0,0,AZ,0,0,7.34545454545
03/04/07,ANC,0,0,4,3,14.0,35,2,0,0,0,AK,0,0,-23.3333333333
03/04/07,ATL,1,0,26,21,8.0,5,16,0,0,0,GA,0,0,29.5517241379
03/04/07,DEN,0,0,13,6,11.0,14,-1,0,0,0,CO,0,0,4.97727272727
03/04/07,DFW,0,0,29,25,13.0,10,20,0,1,0,TX,0,0,19.3787878788
03/04/07,HNL,0,0,27,22,16.0,12,17,0,0,0,HI,0,0,1.09090909091
03/04/07,LAX,0,0,23,18,10.0,4,14,0,0,0,CA,0,0,14.5
03/04/07,LGA,0,0,17,12,11.0,7,6,0,0,0,NY,0,0,21.3333333333
03/04/07,MCO,0,0,31,24,16.0,5,18,0,0,0,FL,0,0,14.9577464789
03/04/07,ORD,0,0,21,12,14.0,25,2,3.81,1,0,IL,1,0,53.8571428571
03/04/07,PHX,0,0,33,25,16.0,9,17,0,0,0,AZ,0,0,15.8230088496
03/05/07,ANC,0,0,2,1,9.0,26,1,0,0,0,AK,0,0,10.6
03/05/07,ATL,0,0,31,21,10.0,3,14,0,0,0,GA,0,0,1.5472972973
03/05/07,DEN,0,0,23,16,11.0,23,8,0,0,0,CO,0,0,11.8046875
03/05/07,DFW,0,0,28,23,14.0,14,18,57.91,1,0,TX,1,0,27.4592592593
03/05/07,HNL,0,0,29,26,16.0,16,23,0,0,0,HI,0,0,5.9
03/05/07,LAX,0,0,22,17,15.0,4,13,0,0,0,CA,0,0,2.0564516129
03/05/07,LGA,0,0,22,17,16.0,5,11,0,0,0,NY,0,0,6.09473684211
03/05/07,MCO,0,0,34,27,15.0,6,21,0,0,0,FL,0,0,4.78082191781
03/05/07,ORD,0,0,19,13,16.0,19,8,0,0,0,IL,0,0,1.52054794521
03/05/07,PHX,0,0,32,27,16.0,13,23,0,0,0,AZ,0,0,4.90654205607
03/06/07,ANC,0,0,9,7,15.0,6,4,0.25,0,0,AK,0,0,12.3333333333
03/06/07,ATL,0,0,32,24,14.0,6,18,0,0,0,GA,0,0,16.6824324324
03/06/07,DEN,0,0,23,16,11.0,8,9,0,0,0,CO,0,0,18.3409090909
03/06/07,DFW,0,0,33,28,16.0,9,23,0.51,0,0,TX,0,0,69.3088235294
03/06/07,HNL,0,0,32,27,16.0,14,21,0,1,0,HI,0,0,4.65217391304
03/06/07,LAX,0,0,22,18,10.0,3,14,0,0,0,CA,0,0,18.7886178862
03/06/07,LGA,0,0,26,22,11.0,7,17,41.15,1,0,NY,0,0,17.8876404494
03/06/07,MCO,0,0,31,26,15.0,21,21,0,0,0,FL,0,0,18.28
